id,title,price,location,property_type,transaction_type,bedrooms,bathrooms,area,url,scraped_at
1,4 Bedroom Property,"KSh 78,000,000",4 Bed Townhouse with En Suite at Spring Valley - Shanzu Road | BuyRentKenya,Townhouse,Sale,4,4,N/A,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-spring-valley-3844840,2025-09-16T11:27:29.983183
2,5 Bedroom Property,"KSh 22,000,000",5 Bed House with En Suite at Karai,House,Sale,4,4,N/A,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-kikuyu-town-3843680,2025-09-16T11:27:29.983185
3,4 Bedroom Property,"KSh 135,000,000",4 Bed Villa with En Suite at Loresho Ridge,Villa,Sale,4,5,N/A,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-loresho-3842712,2025-09-16T11:27:29.983186
6,4 Bedroom Property,"KSh 32,450,000",4 Bed House with En Suite at Ruiru-Kiambu Road,House,Sale,5,5,N/A,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3845280,2025-09-16T11:27:29.983188
9,5 Bedroom Property,"KSh 81,000,000",5 Bed Townhouse with En Suite in Lavington | BuyRentKenya,Townhouse,Sale,4,6,N/A,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3845223,2025-09-16T11:27:29.983190
10,4 Bedroom Property,"KSh 72,000,000",4 Bed Townhouse with En Suite in Lavington | BuyRentKenya,Townhouse,Sale,4,5,N/A,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3845224,2025-09-16T11:27:29.983190
